date,jobcountry,indeed_job_postings_index,variable,display_name
2020-08-10,US,61.33,total postings,Data & Analytics
2020-08-10,US,67.32,new postings,Data & Analytics
2020-08-11,US,61.29,total postings,Data & Analytics
2020-08-11,US,68.27,new postings,Data & Analytics
2020-08-12,US,61.19,total postings,Data & Analytics
2020-08-12,US,68.0,new postings,Data & Analytics
2020-08-13,US,61.19,total postings,Data & Analytics
2020-08-13,US,67.78,new postings,Data & Analytics
2020-08-14,US,61.35,total postings,Data & Analytics
2020-08-14,US,68.15,new postings,Data & Analytics
2020-08-15,US,61.07,total postings,Data & Analytics
2020-08-15,US,67.29,new postings,Data & Analytics
2020-08-16,US,61.11,total postings,Data & Analytics
2020-08-16,US,66.4,new postings,Data & Analytics
2020-08-17,US,61.19,total postings,Data & Analytics
2020-08-17,US,65.67,new postings,Data & Analytics
2020-08-18,US,61.24,total postings,Data & Analytics
2020-08-18,US,64.53,new postings,Data & Analytics
2020-08-19,US,61.51,total postings,Data & Analytics
2020-08-19,US,64.7,new postings,Data & Analytics
2020-08-20,US,61.72,total postings,Data & Analytics
2020-08-20,US,64.72,new postings,Data & Analytics
2020-08-21,US,61.66,total postings,Data & Analytics
2020-08-21,US,63.82,new postings,Data & Analytics
2020-08-22,US,61.98,total postings,Data & Analytics
2020-08-22,US,64.56,new postings,Data & Analytics
2020-08-23,US,62.06,total postings,Data & Analytics
2020-08-23,US,64.73,new postings,Data & Analytics
2020-08-24,US,62.03,total postings,Data & Analytics
2020-08-24,US,64.65,new postings,Data & Analytics
2020-08-25,US,62.01,total postings,Data & Analytics
2020-08-25,US,65.68,new postings,Data & Analytics
2020-08-26,US,62.0,total postings,Data & Analytics
2020-08-26,US,66.49,new postings,Data & Analytics
2020-08-27,US,61.93,total postings,Data & Analytics
2020-08-27,US,67.78,new postings,Data & Analytics
2020-08-28,US,62.09,total postings,Data & Analytics
2020-08-28,US,69.51,new postings,Data & Analytics
2020-08-29,US,62.19,total postings,Data & Analytics
2020-08-29,US,69.9,new postings,Data & Analytics
2020-08-30,US,62.17,total postings,Data & Analytics
2020-08-30,US,70.41,new postings,Data & Analytics
2020-08-31,US,62.22,total postings,Data & Analytics
2020-08-31,US,71.25,new postings,Data & Analytics
2020-09-01,US,62.32,total postings,Data & Analytics
2020-09-01,US,71.56,new postings,Data & Analytics
2020-09-02,US,62.54,total postings,Data & Analytics
2020-09-02,US,71.93,new postings,Data & Analytics
2020-09-03,US,62.81,total postings,Data & Analytics
2020-09-03,US,73.97,new postings,Data & Analytics
2020-09-04,US,63.19,total postings,Data & Analytics
2020-09-04,US,76.71,new postings,Data & Analytics
2020-09-05,US,63.48,total postings,Data & Analytics
2020-09-05,US,79.69,new postings,Data & Analytics
2020-09-06,US,63.92,total postings,Data & Analytics
2020-09-06,US,82.58,new postings,Data & Analytics
2020-09-07,US,64.38,total postings,Data & Analytics
2020-09-07,US,84.94,new postings,Data & Analytics
2020-09-08,US,64.75,total postings,Data & Analytics
2020-09-08,US,85.83,new postings,Data & Analytics
