date,jobcountry,indeed_job_postings_index,variable,display_name
2020-05-17,DE,57.05,new postings,Data & Analytics
2020-05-17,DE,72.96,total postings,Data & Analytics
2020-05-18,DE,61.13,new postings,Data & Analytics
2020-05-18,DE,72.82,total postings,Data & Analytics
2020-05-19,DE,64.94,new postings,Data & Analytics
2020-05-19,DE,72.82,total postings,Data & Analytics
2020-05-20,DE,67.07,new postings,Data & Analytics
2020-05-20,DE,72.68,total postings,Data & Analytics
2020-05-21,DE,68.01,new postings,Data & Analytics
2020-05-21,DE,72.6,total postings,Data & Analytics
2020-05-22,DE,65.84,new postings,Data & Analytics
2020-05-22,DE,72.41,total postings,Data & Analytics
2020-05-23,DE,60.8,new postings,Data & Analytics
2020-05-23,DE,72.25,total postings,Data & Analytics
2020-05-24,DE,55.31,new postings,Data & Analytics
2020-05-24,DE,71.96,total postings,Data & Analytics
2020-05-25,DE,50.34,new postings,Data & Analytics
2020-05-25,DE,71.7,total postings,Data & Analytics
2020-05-26,DE,45.99,new postings,Data & Analytics
2020-05-26,DE,71.44,total postings,Data & Analytics
2020-05-27,DE,43.74,new postings,Data & Analytics
2020-05-27,DE,71.31,total postings,Data & Analytics
2020-05-28,DE,40.52,new postings,Data & Analytics
2020-05-28,DE,71.07,total postings,Data & Analytics
2020-05-29,DE,41.23,new postings,Data & Analytics
2020-05-29,DE,70.98,total postings,Data & Analytics
2020-05-30,DE,44.69,new postings,Data & Analytics
2020-05-30,DE,70.92,total postings,Data & Analytics
2020-05-31,DE,51.33,new postings,Data & Analytics
2020-05-31,DE,70.81,total postings,Data & Analytics
2020-06-01,DE,56.82,new postings,Data & Analytics
2020-06-01,DE,70.73,total postings,Data & Analytics
2020-06-02,DE,60.54,new postings,Data & Analytics
2020-06-02,DE,70.7,total postings,Data & Analytics
2020-06-03,DE,62.71,new postings,Data & Analytics
2020-06-03,DE,70.86,total postings,Data & Analytics
2020-06-04,DE,67.24,new postings,Data & Analytics
2020-06-04,DE,71.16,total postings,Data & Analytics
2020-06-05,DE,68.91,new postings,Data & Analytics
2020-06-05,DE,71.3,total postings,Data & Analytics
2020-06-06,DE,69.37,new postings,Data & Analytics
2020-06-06,DE,71.43,total postings,Data & Analytics
2020-06-07,DE,66.67,new postings,Data & Analytics
2020-06-07,DE,71.68,total postings,Data & Analytics
